GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
45003000001,794,220,503,776,183,578,1003,370,616,1001,365,629,738,232,487,738,257,478
45003000002,699,535,156,691,507,163,787,589,185,791,599,186,515,383,108,515,396,111
45003000003,909,744,136,884,716,142,991,845,133,994,864,118,641,537,92,637,553,85
45003000004,392,335,44,383,318,57,438,366,69,442,372,66,298,251,37,297,260,36
45003000057,775,231,499,746,221,490,875,282,578,874,299,560,582,186,385,585,192,390
45003000005,695,371,270,656,324,319,898,550,333,902,549,347,593,357,227,593,379,211
45003000072,671,250,366,662,231,410,719,310,396,719,315,392,516,211,297,524,236,280
45003000006,868,261,552,845,188,624,1020,405,596,1027,397,619,717,239,459,730,290,440
45003000007,589,258,312,560,265,280,545,239,299,548,252,283,402,184,205,400,188,202
45003000008,1173,613,534,1134,584,514,1123,596,512,1126,599,506,826,442,364,827,459,371
45003000009,1154,526,574,1132,531,552,1056,491,540,1054,511,522,757,367,370,761,391,367
45003000010,764,515,214,745,490,230,765,477,278,764,482,272,580,383,167,576,399,165
45003000011,901,621,270,878,602,256,1047,671,355,1041,680,344,684,462,201,685,471,201
45003000012,420,196,221,414,184,222,457,209,239,459,230,224,315,140,163,310,138,170
45003000013,1151,317,757,1123,290,795,1305,435,843,1309,463,831,900,250,624,907,290,615
45003000079,472,167,276,465,143,304,687,282,402,685,278,405,465,180,278,468,196,267
45003000025,901,353,506,891,321,539,1030,425,583,1024,442,572,757,288,455,761,308,447
45003000029,852,250,539,828,221,575,1175,464,669,1173,468,688,749,255,473,744,266,461
45003000055,783,189,537,777,178,570,760,236,517,761,230,522,585,160,411,590,181,409
45003000067,901,186,658,898,158,716,1031,275,735,1031,284,736,808,196,597,804,226,581
45003000028,873,196,623,863,157,681,892,257,618,894,250,633,714,168,542,720,184,533
45003000026,727,317,377,712,296,389,734,349,367,732,351,359,489,248,237,490,258,229
45003000027,1157,176,926,1142,126,985,1241,233,989,1243,227,991,979,143,821,982,174,804
45003000068,1501,304,1113,1501,294,1156,1920,565,1326,1926,581,1315,1290,302,973,1290,335,960
45003000062,790,416,348,768,387,367,899,476,413,900,488,396,619,311,303,619,315,303
45003000073,1100,210,835,1077,168,882,1113,267,823,1108,263,834,855,163,684,846,176,667
45003000049,884,177,683,853,198,631,902,206,683,900,221,663,672,148,511,669,164,500
45003000044,1024,345,630,988,331,611,991,390,574,987,400,554,702,270,416,711,295,413
45003000074,426,130,290,425,126,280,455,154,294,454,156,288,347,116,226,346,121,222
45003000058,1059,237,784,1042,213,812,1165,310,837,1167,322,833,837,236,597,829,241,586
45003000045,1213,416,753,1181,396,755,1455,580,854,1459,590,854,960,362,589,961,386,576
45037000013,1202,723,455,1149,689,429,1517,910,584,1523,934,564,1021,639,365,1018,658,363
45003000084,809,211,570,792,186,586,971,286,670,971,290,670,673,189,472,673,212,463
45003000071,1326,347,944,1289,343,908,1527,442,1066,1525,454,1051,1001,288,697,1004,318,685
45003000019,643,160,462,607,164,436,602,128,463,599,137,447,477,116,353,478,117,352
