GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
460030VTD-1,333,44,247,290,44,233,263,82,180,274,84,173
460030VTD-2,158,32,123,158,24,123,151,34,104,151,55,80
460030VTD-3,403,92,324,399,90,268,374,198,202,385,214,184
460030VTD-5,187,48,121,187,48,120,159,87,93,176,94,86
460030VTD-7,337,83,243,337,95,210,280,126,149,294,142,142
460070VTD-1,262,148,117,269,182,70,217,166,48,227,179,45
460070VTD-4,170,5,152,171,2,149,143,16,123,144,16,123
46007VTD-27,351,110,247,351,93,235,354,138,210,365,171,210
460090VTD-1,588,108,475,578,81,424,510,173,325,526,192,304
460090VTD-2,500,96,400,497,97,378,454,200,274,471,247,227
460090VTD-3,719,217,494,713,204,473,630,320,320,650,403,228
460090VTD-4,563,163,371,532,144,341,455,235,229,480,287,167
460090VTD-5,643,136,476,647,117,476,586,189,380,603,233,337
46015VTD-D2,523,109,412,519,101,385,442,156,287,472,223,242
46015VTD-D4,71,13,52,72,3,59,71,13,52,76,15,50
460170VTD-1,122,22,85,121,15,85,116,26,77,128,32,76
460170VTD-2,80,28,51,78,37,38,86,52,33,86,61,22
460170VTD-3,290,199,89,293,236,37,329,287,42,339,303,32
460190VTD-6,50,3,45,48,0,47,42,3,39,44,7,38
46019VTD-11,68,5,63,71,9,63,58,10,50,63,11,50
46019VTD-12,99,8,84,99,12,79,85,17,71,85,20,68
46019VTD-16,688,100,583,697,79,572,622,148,471,634,191,428
46019VTD-17,371,55,318,374,53,298,318,72,244,328,89,231
46019VTD-22,182,47,134,183,42,133,147,57,93,153,57,96
46019VTD-23,229,45,185,233,40,171,177,55,119,178,69,105
46019VTD-18,125,27,92,124,26,86,97,29,71,102,29,77
46019VTD-20,237,51,183,241,48,182,219,80,142,221,91,133
46019VTD-21,228,49,177,234,36,176,177,60,118,187,61,121
