GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
47135006954,807,779,4,20,4,1,0,610,600,0,5,4,1,0,1005,921,62,13,11,0,0,678,655,0,11,11,0,0,804,778,19,7,0,0,0,585,577,0,8,0,0,0,916,850,57,6,0,0,0,611,603,0,8,0,0,0,823,765,8,38,12,4,0,636,599,4,25,8,0,0,636,599,4,23,0,2,0,2,6
47135006952,990,942,38,0,8,2,0,717,687,21,0,7,2,0,957,903,35,0,20,0,0,748,720,19,0,9,0,0,951,924,24,0,3,0,0,748,739,9,0,1,0,0,835,800,32,0,0,0,0,617,613,2,0,0,0,0,1119,1056,15,7,27,4,1,828,787,7,5,21,1,1,828,787,7,4,1,6,0,4,19
47071003705,2698,2450,50,172,22,11,1,2097,1924,27,129,17,5,1,2814,2576,68,145,18,3,0,2153,1980,20,127,21,3,0,2814,2625,66,82,33,4,0,2208,2083,20,70,35,4,0,2783,2544,95,97,54,3,0,2187,2055,25,93,40,4,0,2799,2477,47,168,74,17,2,2169,1932,37,116,57,15,1,2169,1932,37,115,12,3,0,0,70
47157008171,3867,35,21,3813,24,4,0,2814,27,11,2775,20,3,0,3548,45,18,3478,12,19,0,2426,45,0,2364,10,20,0,3562,61,21,3476,48,22,0,2558,58,3,2478,30,22,0,3311,71,34,3208,81,21,0,2406,47,19,2311,50,29,0,3199,38,87,3073,46,10,5,2419,36,50,2322,34,6,5,2419,36,50,2272,1,2,3,0,55
47157008195,6826,606,404,5553,39,280,6,4824,555,260,3810,27,201,3,6921,414,755,5503,87,164,1,4521,405,36,3976,50,58,0,6924,388,643,5770,0,123,1,4588,393,65,4055,0,74,0,7729,267,672,6650,10,151,1,4932,280,111,4468,0,87,0,7119,301,1023,5631,52,173,1,5116,280,641,4074,33,136,0,5116,280,641,4002,128,1,0,8,56
47099005174,747,723,6,3,12,7,3,543,526,3,1,10,1,0,818,774,25,19,6,2,0,567,538,14,10,8,2,0,856,814,20,20,8,2,0,592,561,13,12,10,2,0,816,797,8,11,3,0,0,651,644,1,3,1,0,0,692,665,8,9,9,2,2,515,495,3,7,9,2,2,515,495,3,5,0,1,0,1,10
47099005163,2346,2273,21,18,26,8,0,1814,1768,9,11,22,4,0,2458,2356,8,53,10,13,0,1872,1834,8,15,11,4,0,2546,2393,9,79,12,10,1,1882,1832,8,18,12,3,0,2664,2542,5,49,1,22,0,2076,2073,2,9,0,4,0,2368,2241,39,38,44,12,2,1846,1769,16,25,30,11,1,1846,1769,16,15,8,4,0,0,34
47099005162,1630,1586,15,6,17,2,0,1126,1091,10,4,17,1,0,1741,1645,81,27,15,0,0,1016,968,24,0,15,0,0,1689,1601,60,27,18,0,0,1028,977,18,7,16,0,0,1672,1608,25,25,27,0,0,1084,1032,9,6,31,0,0,1714,1624,19,12,36,10,3,1156,1095,13,7,26,8,3,1156,1095,13,5,2,3,0,2,36
47099005164,2389,2227,37,93,29,8,1,1729,1618,18,70,22,5,1,2491,2214,66,130,50,22,27,1618,1435,27,85,47,1,28,2360,2130,50,86,24,0,53,1579,1430,22,53,26,0,53,2411,2172,46,112,27,0,43,1677,1533,32,75,13,3,43,2410,2206,52,97,45,6,0,1755,1614,38,67,29,6,0,1755,1614,38,58,4,4,0,1,36
47099005165,2378,2207,34,107,22,9,0,1755,1640,13,73,18,5,0,2267,2097,33,36,45,45,3,1694,1606,8,28,42,15,0,2277,2109,29,50,41,31,3,1659,1570,5,37,38,11,0,2221,1998,32,31,13,107,0,1574,1455,3,28,13,68,0,2617,2364,44,100,64,26,4,1966,1785,24,67,53,19,2,1966,1785,24,54,12,6,0,4,81
