GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
49047FD0018,1761,560,69,3,1158,7,8,1140,401,36,3,712,4,4,1699,649,27,0,1018,21,0,1169,450,14,0,699,4,0,1696,661,67,0,1000,25,0,1164,460,66,0,626,5,0
49047LT021S,1420,1205,66,6,153,2,13,905,771,33,2,102,2,5,1371,970,43,3,355,5,0,858,644,7,0,195,3,0,1332,957,28,4,336,7,0,846,646,8,3,175,7,0
49047MD0790,147,142,3,0,3,0,0,110,107,1,0,1,0,0,157,149,7,0,0,0,0,105,101,3,0,0,0,0,182,151,21,0,10,0,0,117,103,10,0,6,0,0
49047LT021N,4,4,0,0,0,0,0,2,2,0,0,0,0,0,4,3,0,0,1,0,0,2,2,0,0,0,0,0,4,3,0,0,1,0,0,2,2,0,0,0,0,0
49047DN0024,640,602,22,7,13,6,1,441,415,16,4,6,5,0,931,901,14,1,2,10,0,606,588,6,0,3,10,0,857,837,5,0,1,11,0,569,552,5,0,2,11,0
49035WJD035,1930,1440,320,52,16,65,83,1137,857,177,20,6,40,50,2393,1603,660,68,103,57,42,1236,1002,193,0,14,14,0,2503,1679,657,131,99,42,38,1301,1055,200,14,14,6,0
49035SAN086,1448,1330,36,15,10,35,28,1046,980,20,4,6,23,16,1235,1113,80,14,0,28,0,972,906,25,15,0,30,0,1259,1084,88,37,0,50,0,1045,928,32,35,0,48,0
49035SLC149,1458,1212,140,29,24,53,28,1207,1048,92,12,13,34,16,1492,1293,135,17,10,37,0,1305,1160,80,15,10,35,0,1324,1045,154,18,94,28,0,1135,945,85,20,55,30,0
49035WVC057,2090,1146,727,32,30,79,77,1374,805,430,20,23,57,46,2151,882,912,15,24,144,193,1296,661,445,6,14,90,73,2062,882,830,20,29,182,140,1286,654,408,10,18,111,75
49035WJD039,2205,1809,244,30,5,92,28,1375,1146,145,12,1,57,17,2369,1965,352,50,21,0,19,1586,1438,149,0,0,0,0,2156,2065,56,30,0,11,0,1548,1482,57,0,0,11,0
49035WJD043,526,436,55,10,2,23,2,325,275,30,3,1,14,1,547,453,47,24,0,11,14,380,362,14,0,0,5,0,517,430,60,0,0,10,18,392,365,24,0,0,5,0
49035SJD030,1611,1352,150,12,10,75,21,982,834,88,6,6,42,10,2846,2317,277,42,11,181,52,1644,1393,117,13,11,84,14,2969,2396,350,34,10,152,35,1733,1456,164,11,10,80,12
49035SJD029,1619,1421,90,9,10,73,36,870,766,47,6,6,43,14,2888,2350,279,41,12,186,51,1666,1413,117,14,12,86,17,3013,2433,356,33,9,152,35,1760,1479,167,11,9,79,13
49035SJD006,1218,1011,90,19,12,76,21,762,653,54,6,8,47,9,2131,1733,206,30,9,134,36,1229,1045,85,10,8,63,11,2219,1793,262,22,5,109,23,1299,1098,119,7,5,59,10
49035SJD046,583,525,32,6,4,13,10,309,277,16,2,1,7,4,1009,819,98,17,4,63,18,581,493,41,5,4,31,5,1035,837,119,11,1,52,12,613,516,60,4,1,27,5
49035DRP025,1869,1632,115,20,15,78,17,1202,1058,72,10,7,48,10,2049,1808,78,10,4,100,38,1352,1226,56,4,4,46,16,2027,1717,95,63,4,102,45,1320,1174,44,30,4,50,12
49035DRP027,2339,1995,148,46,16,130,18,1610,1396,90,23,9,82,12,2916,2616,147,40,6,56,51,1841,1713,67,8,4,26,19,2892,2569,157,33,20,51,57,1912,1756,72,8,10,33,34
49035DRP007,5683,4284,813,255,156,210,121,4724,3530,700,234,141,163,97,4501,3516,551,131,162,136,34,3651,2904,415,98,158,52,18,4521,3534,567,94,176,119,29,3611,2885,412,80,163,40,15
