GEOID20,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_ag,D_2016_ag,R_2016_ag,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2020_,D_2020_,R_2020_,Tot_2020_,D_2020_,R_2020_,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ag,D_2020_ag,R_2020_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_,D_2020_,R_2020_,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ltg,D_2018_ltg,R_2018_ltg
50007500721,2538,1302,1173,2466,1463,964,2524,1694,515,2419,1855,501,2527,1763,660,2797,2099,537,2797,2099,537,2871,1791,988,2918,895,1979,2776,2203,470,2941,2287,572,2797,2099,537,2278,1799,424,2332,1103,1177,2319,0,495,2302,0,748
50005500516,739,183,534,726,242,465,736,292,341,713,336,362,735,310,392,781,376,334,781,376,334,802,288,479,818,142,635,776,413,331,831,421,387,781,376,334,571,290,269,589,150,424,585,0,272,580,0,332
50005050501,959,367,553,935,436,471,960,485,355,925,499,394,953,534,367,1042,562,383,1042,562,383,1057,507,500,1078,254,769,1046,617,381,1095,624,437,1042,562,383,790,473,297,804,303,473,799,0,279,796,0,352
50007500726,2973,1443,1482,2891,1570,1282,2995,2064,652,2855,2242,580,2974,2091,806,3414,2559,667,3414,2559,667,3548,2094,1357,3657,824,2775,3473,2816,578,3692,2884,706,3414,2559,667,2709,2208,461,2773,1102,1612,2739,0,645,2725,0,967
50007500728,2321,1157,1106,2249,1287,920,2328,1473,551,2233,1718,462,2307,1504,659,2622,1873,529,2622,1873,529,2697,1561,991,2744,871,1803,2652,2069,481,2788,2093,617,2622,1873,529,1979,1568,369,2022,876,1077,2010,0,447,2011,0,674
50005500503,1332,411,897,1290,526,740,1309,645,494,1290,709,541,1325,713,575,1389,802,493,1389,802,493,1433,596,803,1466,279,1135,1380,857,469,1469,855,559,1389,802,493,1104,669,412,1137,351,752,1117,0,416,1125,0,559
50005050050,2051,572,1410,1999,753,1192,2062,827,883,1962,962,928,2046,986,927,2321,1131,975,2321,1131,975,2372,882,1404,2405,422,1865,2309,1284,906,2440,1207,1136,2321,1131,975,1657,866,754,1690,439,1172,1677,0,721,1680,0,933
50005500510,560,169,376,546,216,295,537,252,239,542,293,241,557,275,242,623,306,269,623,306,269,641,295,322,638,109,492,618,325,268,648,329,298,623,306,269,424,246,169,431,109,311,435,0,166,431,0,225
50005500512,3015,1034,1869,2950,1312,1537,3010,1469,1110,2930,1511,1323,2985,1623,1174,3239,1846,1080,3239,1846,1080,3294,1514,1617,3350,837,2312,3204,1985,1070,3377,2034,1218,3239,1846,1080,2424,1442,911,2456,885,1486,2436,0,831,2444,0,1164
50005500504,490,123,345,471,136,293,483,159,234,458,217,224,483,199,257,521,235,243,521,235,243,538,216,300,537,97,411,520,269,227,549,248,272,521,235,243,395,197,184,409,96,289,406,0,176,404,0,239
