GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
53011000909,1613,1423,105,14,60,27,10,1204,1097,59,5,37,15,5,1721,1482,124,19,26,85,0,1278,1193,36,1,10,41,0,1678,1419,124,50,26,76,0,1245,1123,40,36,6,41,0
53011000947,1219,1118,33,10,25,32,5,955,896,22,4,14,20,3,1391,1288,42,7,40,25,5,1040,989,17,0,16,13,0,1281,1163,61,11,35,30,4,956,882,34,0,8,21,0
53011000910,1085,957,70,10,40,18,5,809,738,40,2,24,12,2,1117,885,99,63,29,48,1,848,719,42,12,28,50,1,1108,854,105,78,28,46,0,809,660,62,17,29,45,0
53011000914,1897,1676,99,22,28,71,5,1351,1226,56,10,17,39,4,2184,2010,47,22,34,72,5,1492,1421,15,5,20,30,0,2187,1959,127,0,40,65,0,1532,1424,58,1,23,24,0
53011000912,1271,1127,62,14,16,54,3,916,830,37,8,11,32,2,1473,1336,43,15,19,65,3,1005,951,11,6,13,24,0,1474,1301,92,1,24,59,0,1033,960,38,1,17,19,0
53011000110,2264,1823,200,96,72,73,22,1840,1550,121,61,54,55,15,2352,1822,292,100,29,142,0,1994,1580,234,84,17,78,0,2506,2024,252,99,16,139,29,2078,1685,191,81,17,73,0
53011000654,2127,1724,191,53,60,95,35,1530,1296,98,28,38,61,22,2147,1803,203,91,67,38,3,1495,1299,88,80,17,15,0,2126,1710,245,174,18,3,35,1514,1255,130,120,13,0,0
53011000426,2059,1632,204,66,47,108,30,1510,1257,115,35,26,72,14,2307,1905,140,48,99,235,42,1735,1533,79,1,19,67,7,2241,1893,178,8,21,162,0,1724,1537,84,2,18,86,0
53011000371,557,421,74,25,14,19,8,417,335,42,14,9,14,5,800,551,195,15,10,2,25,570,460,76,10,10,1,0,686,476,144,24,11,7,30,504,400,57,14,13,3,9
53011000370,1983,1503,264,93,54,66,29,1481,1192,152,46,31,51,18,1798,1394,237,88,24,55,0,1237,1108,46,48,14,13,0,2232,1411,561,71,71,163,111,1351,1129,96,55,17,14,0
