GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
55099004857,813,788,9,0,8,8,0,696,678,5,0,7,5,0,782,740,11,0,26,15,0,649,628,3,0,18,3,0,793,706,39,0,33,9,24,642,602,16,0,18,3,0,807,705,42,0,22,8,29,702,644,16,0,12,2,0,797,750,13,4,9,11,2,712,673,10,4,6,10,2,712,673,10,1,6,2,1,5,14
55099004862,489,480,2,1,4,2,0,395,387,2,0,4,2,0,495,472,8,0,12,5,0,413,401,2,0,7,2,0,477,445,14,0,14,4,6,393,382,7,0,6,2,0,439,411,13,0,12,2,6,377,360,7,0,10,0,0,488,465,2,0,7,3,0,427,405,2,0,6,3,0,427,405,2,0,3,0,0,2,15
55099004865,222,216,3,0,0,0,0,188,183,2,0,0,0,0,219,202,7,1,2,4,4,175,167,5,2,0,0,0,205,196,4,1,1,3,3,168,160,2,2,0,2,0,208,199,5,1,1,3,3,168,166,0,0,0,0,0,220,208,3,1,1,1,1,173,168,0,1,0,0,0,173,168,0,1,0,0,0,1,3
55099004863,171,162,3,0,1,5,0,134,130,0,0,1,3,0,181,175,4,0,5,0,0,151,147,0,0,3,0,0,165,160,4,0,3,0,0,137,134,0,0,3,0,0,140,139,1,0,3,0,0,105,110,0,0,0,0,0,172,169,0,0,2,1,0,129,128,0,0,0,1,0,129,128,0,0,1,0,0,0,0
55099004858,153,151,2,1,0,0,0,123,122,1,0,0,0,0,129,119,0,0,5,7,0,109,103,0,0,6,1,0,154,121,13,0,9,5,11,120,108,8,0,6,1,0,205,160,20,0,6,5,15,155,137,0,0,3,0,0,163,157,1,2,1,1,1,129,126,0,0,1,1,1,129,126,0,0,0,1,0,0,2
55099004859,297,285,6,1,4,1,0,238,232,3,1,2,0,0,322,292,7,6,10,5,0,264,249,5,7,1,1,0,314,286,6,7,11,4,0,265,250,2,7,1,1,0,292,273,3,6,10,3,0,246,234,10,0,2,0,0,308,294,7,0,5,2,0,253,241,6,0,5,1,0,253,241,6,0,0,2,0,0,4
55099004889,503,495,2,0,6,0,0,418,412,2,0,4,0,0,518,488,9,11,9,5,0,416,401,5,11,2,3,0,530,498,8,11,9,7,0,431,416,5,11,2,3,0,491,462,4,9,7,6,0,382,375,0,25,0,0,0,481,468,2,1,1,4,0,389,382,0,1,1,3,0,389,382,0,1,0,0,0,1,5
55099004884,669,647,7,9,10,1,0,498,482,5,4,8,1,0,652,576,19,45,4,5,0,521,464,8,44,4,4,0,608,553,5,39,5,1,0,510,454,5,38,8,4,0,532,516,6,7,3,0,0,425,398,8,0,6,0,0,563,520,12,3,20,3,0,425,393,8,0,17,3,0,425,393,8,0,3,3,0,0,18
55099004872,717,681,22,7,8,0,0,561,545,9,1,6,0,0,672,623,16,25,8,3,0,538,501,10,23,7,0,0,674,627,10,28,8,0,0,539,507,8,25,9,0,0,679,647,9,16,7,0,0,587,560,10,17,4,0,0,727,703,10,3,7,1,0,609,591,8,3,3,1,0,609,591,8,1,1,0,0,1,7
55099004882,498,460,8,12,11,12,4,396,372,5,6,6,8,3,458,441,6,2,6,3,1,369,363,1,1,4,1,0,459,440,6,3,9,1,1,364,355,1,1,4,0,0,470,440,1,14,10,3,1,336,326,0,0,6,1,0,499,451,12,9,9,6,10,366,331,6,5,5,6,10,366,331,6,3,6,3,8,1,8
